game_id,attendance,h_assists,h_biggestLead,h_blocks,h_defReb,h_fastBreakPoints,h_fga,h_fgm,h_fgp,h_fta,h_ftm,h_ftp,h_linescore_p1,h_linescore_p2,h_linescore_p3,h_linescore_p4,h_longestRun,h_loss,h_max_player_assists,h_max_player_points,h_max_player_rebounds,h_offReb,h_pFouls,h_plusMinus,h_points,h_pointsInPaint,h_pointsOffTurnovers,h_score,h_secondChancePoints,h_seriesLoss,h_seriesWin,h_steals,h_teamId,h_tpa,h_tpm,h_tpp,h_turnovers,h_win,isBuzzerBeater,leadChanges,period_current,timesTied,v_assists,v_biggestLead,v_blocks,v_defReb,v_fastBreakPoints,v_fga,v_fgm,v_fgp,v_fta,v_ftm,v_ftp,v_linescore_p1,v_linescore_p2,v_linescore_p3,v_linescore_p4,v_longestRun,v_loss,v_max_player_assists,v_max_player_points,v_max_player_rebounds,v_offReb,v_pFouls,v_plusMinus,v_points,v_pointsInPaint,v_pointsOffTurnovers,v_score,v_secondChancePoints,v_seriesLoss,v_seriesWin,v_steals,v_teamId,v_tpa,v_tpm,v_tpp,v_turnovers,v_win,date,d,ups,game_rating,game_star,rating_down,rating_percentage,rating_up
11500011,11670,36.0,35.0,2.0,38.0,29.0,96.0,48.0,50.0,22.0,18.0,81.8,32.0,24.0,38.0,35.0,0.0,0.0,10.0,22.0,9.0,9.0,15.0,34.0,129.0,46.0,28.0,129,0.0,0.0,0.0,10.0,1610612764.0,26.0,15.0,57.7,14.0,1.0,0.0,4.0,4.0,2.0,22.0,6.0,8.0,36.0,21.0,82.0,37.0,45.1,18.0,12.0,66.7,22.0,32.0,18.0,23.0,0.0,1.0,6.0,13.0,8.0,6.0,20.0,-34.0,95.0,40.0,18.0,95.0,0.0,0.0,0.0,6.0,1610612755.0,30.0,9.0,30.0,23.0,0.0,20151006.0,2015-10-06,,,,,,
11500012,21199,21.0,17.0,5.0,35.0,14.0,99.0,33.0,33.3,38.0,26.0,68.4,16.0,21.0,40.0,28.0,0.0,0.0,6.0,23.0,14.0,24.0,25.0,10.0,105.0,32.0,20.0,105,0.0,0.0,0.0,12.0,1610612741.0,39.0,13.0,33.3,15.0,1.0,0.0,8.0,4.0,6.0,18.0,8.0,6.0,34.0,22.0,77.0,35.0,45.5,31.0,22.0,71.0,20.0,20.0,27.0,28.0,0.0,1.0,7.0,20.0,9.0,8.0,34.0,-10.0,95.0,42.0,17.0,95.0,0.0,0.0,0.0,11.0,1610612749.0,11.0,3.0,27.3,19.0,0.0,20151006.0,2015-10-06,,,,,,
11500013,12826,16.0,12.0,5.0,39.0,9.0,77.0,30.0,39.0,29.0,25.0,86.2,31.0,12.0,30.0,19.0,0.0,0.0,3.0,12.0,8.0,8.0,28.0,3.0,92.0,32.0,15.0,92,0.0,0.0,0.0,6.0,1610612763.0,19.0,7.0,36.8,23.0,1.0,0.0,7.0,4.0,5.0,17.0,7.0,3.0,35.0,23.0,86.0,31.0,36.0,31.0,22.0,71.0,20.0,28.0,17.0,24.0,0.0,1.0,3.0,12.0,11.0,16.0,26.0,-3.0,89.0,44.0,24.0,89.0,0.0,0.0,0.0,17.0,1610612745.0,30.0,5.0,16.7,17.0,0.0,20151006.0,2015-10-06,65.0,,,,,
11500014,10446,25.0,9.0,3.0,30.0,12.0,80.0,39.0,48.8,27.0,21.0,77.8,28.0,24.0,39.0,21.0,0.0,1.0,4.0,26.0,9.0,11.0,28.0,-3.0,112.0,38.0,14.0,112,0.0,0.0,0.0,5.0,1610612765.0,29.0,13.0,44.8,19.0,0.0,0.0,9.0,4.0,9.0,16.0,11.0,3.0,28.0,6.0,85.0,38.0,44.7,35.0,29.0,82.9,34.0,25.0,26.0,30.0,0.0,1.0,8.0,32.0,8.0,18.0,23.0,3.0,115.0,32.0,23.0,115.0,0.0,0.0,0.0,10.0,1610612754.0,22.0,10.0,45.5,13.0,1.0,20151006.0,2015-10-06,,,,,,
11500015,17038,23.0,4.0,8.0,31.0,25.0,86.0,34.0,39.5,11.0,9.0,81.8,16.0,30.0,19.0,21.0,0.0,1.0,7.0,18.0,8.0,11.0,18.0,-10.0,86.0,42.0,23.0,86,0.0,0.0,0.0,8.0,1610612742.0,37.0,9.0,24.3,21.0,0.0,0.0,1.0,4.0,2.0,22.0,15.0,3.0,39.0,23.0,85.0,36.0,42.4,19.0,16.0,84.2,30.0,23.0,18.0,25.0,0.0,1.0,5.0,17.0,12.0,13.0,17.0,10.0,96.0,40.0,27.0,96.0,0.0,0.0,0.0,11.0,1610612743.0,28.0,8.0,28.6,22.0,1.0,20151006.0,2015-10-06,,,,,,
11500016,11388,18.0,2.0,7.0,29.0,13.0,83.0,37.0,44.6,16.0,8.0,50.0,20.0,24.0,27.0,20.0,0.0,0.0,5.0,19.0,7.0,10.0,23.0,-33.0,91.0,40.0,11.0,91,0.0,0.0,0.0,7.0,94.0,26.0,9.0,34.6,21.0,0.0,0.0,1.0,4.0,1.0,31.0,33.0,3.0,33.0,22.0,82.0,46.0,56.1,29.0,24.0,82.8,34.0,27.0,38.0,25.0,0.0,0.0,6.0,18.0,7.0,8.0,19.0,33.0,124.0,70.0,29.0,124.0,0.0,0.0,0.0,15.0,1610612738.0,21.0,8.0,38.1,14.0,1.0,20151006.0,2015-10-06,,,,,,
11500017,10250,28.0,9.0,7.0,32.0,8.0,83.0,35.0,42.2,15.0,12.0,80.0,23.0,17.0,26.0,30.0,0.0,1.0,5.0,15.0,7.0,7.0,29.0,-2.0,96.0,34.0,17.0,96,0.0,0.0,0.0,10.0,1610612739.0,37.0,14.0,37.8,17.0,0.0,0.0,6.0,4.0,5.0,17.0,13.0,2.0,37.0,15.0,75.0,33.0,44.0,30.0,25.0,83.3,25.0,25.0,17.0,31.0,0.0,0.0,5.0,17.0,8.0,9.0,19.0,2.0,98.0,40.0,23.0,98.0,0.0,0.0,0.0,8.0,1610612737.0,24.0,7.0,29.2,17.0,1.0,20151007.0,2015-10-07,,,,,,
11500018,8601,23.0,4.0,2.0,16.0,10.0,81.0,36.0,44.4,29.0,23.0,79.3,28.0,28.0,29.0,14.0,7.0,1.0,4.0,18.0,5.0,11.0,14.0,-23.0,99.0,34.0,21.0,99,14.0,0.0,0.0,8.0,1610612750.0,18.0,4.0,22.2,15.0,0.0,0.0,1.0,4.0,2.0,34.0,23.0,7.0,31.0,26.0,90.0,50.0,55.6,15.0,11.0,73.3,42.0,21.0,33.0,26.0,10.0,0.0,13.0,18.0,8.0,14.0,21.0,23.0,122.0,58.0,15.0,122.0,26.0,0.0,0.0,6.0,1610612760.0,22.0,11.0,50.0,17.0,1.0,20151007.0,2015-10-07,,,,,,
11500019,16839,24.0,30.0,5.0,45.0,10.0,93.0,40.0,43.0,25.0,17.0,68.0,34.0,33.0,24.0,18.0,0.0,1.0,5.0,19.0,14.0,18.0,23.0,27.0,109.0,42.0,4.0,109,0.0,0.0,0.0,6.0,1610612745.0,37.0,12.0,32.4,12.0,1.0,0.0,2.0,4.0,2.0,15.0,2.0,6.0,32.0,14.0,81.0,29.0,35.8,23.0,17.0,73.9,23.0,24.0,22.0,13.0,0.0,2.0,6.0,19.0,8.0,7.0,21.0,-27.0,82.0,32.0,12.0,82.0,0.0,0.0,0.0,5.0,1610612742.0,29.0,7.0,24.1,8.0,0.0,20151007.0,2015-10-07,,,,,,
11500020,12033,21.0,6.0,4.0,38.0,14.0,97.0,39.0,40.2,19.0,15.0,78.9,27.0,25.0,24.0,26.0,0.0,0.0,4.0,17.0,13.0,17.0,27.0,4.0,102.0,40.0,28.0,102,0.0,0.0,0.0,14.0,1610612756.0,28.0,9.0,32.1,20.0,1.0,0.0,11.0,4.0,13.0,15.0,16.0,7.0,35.0,13.0,83.0,34.0,41.0,28.0,21.0,75.0,32.0,21.0,26.0,19.0,0.0,1.0,6.0,30.0,8.0,11.0,20.0,-4.0,98.0,34.0,19.0,98.0,0.0,0.0,0.0,12.0,1610612758.0,32.0,9.0,28.1,21.0,1.0,20151007.0,2015-10-07,85.0,,,,,
11500021,19037,21.0,24.0,2.0,35.0,6.0,78.0,38.0,48.7,22.0,16.0,72.7,24.0,36.0,22.0,18.0,0.0,0.0,4.0,17.0,8.0,13.0,17.0,19.0,100.0,34.0,24.0,100,0.0,0.0,0.0,6.0,1610612752.0,20.0,8.0,40.0,20.0,1.0,0.0,6.0,4.0,3.0,18.0,3.0,0.0,27.0,7.0,81.0,30.0,37.0,15.0,10.0,66.7,25.0,19.0,20.0,17.0,0.0,0.0,10.0,19.0,10.0,12.0,21.0,-19.0,81.0,30.0,13.0,81.0,0.0,0.0,0.0,9.0,12328.0,43.0,11.0,25.6,21.0,0.0,20151007.0,2015-10-07,,,,,,
11500022,6123,22.0,11.0,4.0,28.0,5.0,68.0,30.0,44.1,38.0,29.0,76.3,24.0,24.0,18.0,31.0,0.0,2.0,6.0,18.0,6.0,11.0,24.0,-3.0,97.0,14.0,26.0,97,0.0,0.0,0.0,6.0,1610612748.0,19.0,8.0,42.1,20.0,0.0,0.0,9.0,4.0,11.0,27.0,14.0,5.0,22.0,10.0,76.0,35.0,46.1,24.0,20.0,83.3,23.0,28.0,23.0,26.0,0.0,1.0,6.0,18.0,8.0,8.0,32.0,3.0,100.0,28.0,23.0,100.0,0.0,0.0,0.0,11.0,1610612753.0,27.0,10.0,37.0,19.0,1.0,20151007.0,2015-10-07,,,,,,
11500023,8229,22.0,1.0,3.0,27.0,18.0,83.0,37.0,44.6,41.0,29.0,70.7,24.0,30.0,20.0,41.0,0.0,1.0,6.0,19.0,15.0,15.0,26.0,1.0,115.0,46.0,44.0,115,0.0,0.0,0.0,11.0,1610612755.0,33.0,12.0,36.4,18.0,1.0,0.0,1.0,4.0,1.0,26.0,19.0,4.0,32.0,13.0,81.0,43.0,53.1,27.0,20.0,74.1,31.0,34.0,24.0,25.0,0.0,2.0,5.0,31.0,9.0,8.0,34.0,-1.0,114.0,50.0,22.0,114.0,0.0,0.0,0.0,6.0,1610612739.0,25.0,8.0,32.0,22.0,0.0,20151008.0,2015-10-08,,,,,,
11500024,12171,21.0,13.0,9.0,36.0,10.0,71.0,33.0,46.5,35.0,26.0,74.3,26.0,22.0,25.0,24.0,0.0,0.0,3.0,23.0,9.0,10.0,23.0,13.0,97.0,44.0,17.0,97,0.0,0.0,0.0,8.0,1610612763.0,17.0,5.0,29.4,23.0,2.0,0.0,10.0,4.0,8.0,19.0,8.0,8.0,27.0,15.0,80.0,29.0,36.2,24.0,17.0,70.8,25.0,23.0,19.0,17.0,0.0,0.0,5.0,17.0,7.0,10.0,31.0,-13.0,84.0,20.0,28.0,84.0,0.0,0.0,0.0,20.0,93.0,31.0,9.0,29.0,18.0,0.0,20151008.0,2015-10-08,,,,,,
11500025,5305,24.0,28.0,1.0,33.0,12.0,83.0,39.0,47.0,35.0,26.0,74.3,20.0,37.0,30.0,25.0,0.0,1.0,7.0,18.0,8.0,9.0,29.0,18.0,112.0,44.0,28.0,112,0.0,0.0,0.0,14.0,1610612743.0,26.0,8.0,30.8,12.0,2.0,0.0,4.0,4.0,0.0,18.0,5.0,2.0,36.0,12.0,93.0,32.0,34.4,29.0,21.0,72.4,21.0,13.0,33.0,27.0,0.0,1.0,4.0,18.0,16.0,23.0,28.0,-18.0,94.0,34.0,10.0,94.0,0.0,0.0,0.0,4.0,1610612741.0,24.0,9.0,37.5,22.0,1.0,20151008.0,2015-10-08,28.0,,,,,
11500026,19303,25.0,25.0,3.0,36.0,12.0,88.0,39.0,44.3,36.0,28.0,77.8,38.0,39.0,20.0,21.0,0.0,1.0,6.0,25.0,9.0,12.0,25.0,17.0,118.0,26.0,24.0,118,0.0,0.0,0.0,11.0,1610612757.0,28.0,12.0,42.9,16.0,1.0,0.0,7.0,4.0,5.0,20.0,4.0,8.0,30.0,17.0,81.0,31.0,38.3,34.0,27.0,79.4,32.0,30.0,25.0,14.0,0.0,1.0,7.0,30.0,8.0,8.0,27.0,-17.0,101.0,28.0,18.0,101.0,0.0,0.0,0.0,7.0,1610612744.0,32.0,12.0,37.5,18.0,1.0,20151008.0,2015-10-08,,,,,,
11500027,14083,26.0,14.0,2.0,36.0,17.0,77.0,35.0,45.5,24.0,20.0,83.3,19.0,28.0,31.0,17.0,0.0,1.0,10.0,26.0,10.0,11.0,18.0,3.0,95.0,38.0,19.0,95,0.0,0.0,0.0,8.0,1610612758.0,20.0,5.0,25.0,22.0,2.0,0.0,13.0,4.0,9.0,19.0,8.0,4.0,30.0,19.0,81.0,35.0,43.2,18.0,13.0,72.2,14.0,33.0,20.0,25.0,0.0,1.0,5.0,16.0,5.0,8.0,26.0,-3.0,92.0,28.0,24.0,92.0,0.0,0.0,0.0,14.0,1610612759.0,24.0,9.0,37.5,19.0,0.0,20151008.0,2015-10-08,132.0,,,,,
11500028,8123,22.0,8.0,7.0,26.0,10.0,76.0,35.0,46.1,27.0,20.0,74.1,27.0,26.0,23.0,21.0,0.0,3.0,6.0,19.0,6.0,11.0,27.0,-8.0,97.0,48.0,7.0,97,0.0,0.0,0.0,4.0,1610612747.0,27.0,7.0,25.9,10.0,0.0,0.0,3.0,4.0,6.0,21.0,12.0,3.0,27.0,3.0,76.0,37.0,48.7,30.0,21.0,70.0,30.0,29.0,27.0,19.0,0.0,1.0,6.0,25.0,7.0,12.0,27.0,8.0,105.0,42.0,18.0,105.0,0.0,0.0,0.0,4.0,1610612761.0,21.0,10.0,47.6,12.0,2.0,20151008.0,2015-10-08,73.0,,,,,
11500029,10019,19.0,4.0,4.0,32.0,11.0,83.0,34.0,41.0,11.0,8.0,72.7,14.0,18.0,22.0,29.0,0.0,2.0,6.0,15.0,11.0,11.0,24.0,-10.0,83.0,50.0,18.0,83,0.0,0.0,0.0,11.0,1610612765.0,22.0,7.0,31.8,21.0,0.0,0.0,1.0,4.0,0.0,22.0,16.0,4.0,31.0,12.0,78.0,34.0,43.6,18.0,15.0,83.3,22.0,20.0,21.0,30.0,0.0,1.0,7.0,17.0,9.0,6.0,16.0,10.0,93.0,26.0,24.0,93.0,0.0,0.0,0.0,12.0,1610612751.0,21.0,10.0,47.6,20.0,1.0,20151008.0,2015-10-08,34.0,,,,,
