awayTeamId,awayTeamScore,gameDate,gameId,gameRating,gameStars,homeTeamId,homeTeamScore,ratingDown,ratingPercentage,ratingUp
WAS,84,2012-10-30,20121030WASCLE,1,1,CLE,94,0,–,0
BOS,107,2012-10-30,20121030BOSMIA,4,4,MIA,120,0,–,0
DAL,99,2012-10-30,20121030DALLAL,2,2,LAL,91,0,–,0
DEN,75,2012-10-31,20121031DENPHI,2,2,PHI,84,0,–,0
IND,90,2012-10-31,20121031INDTOR,5,5,TOR,88,0,–,0
HOU,105,2012-10-31,20121031HOUDET,3,3,DET,96,0,–,0
SAC,87,2012-10-31,20121031SACCHI,2,2,CHI,93,0,–,0
SAS,99,2012-10-31,20121031SASNOH,5,5,NOH,95,0,–,0
DAL,94,2012-10-31,20121031DALUTA,1,1,UTA,113,0,–,0
GSW,87,2012-10-31,20121031GSWPHX,6,6,PHX,85,0,–,0
LAL,106,2012-10-31,20121031LALPOR,3,3,POR,116,0,–,0
MEM,92,2012-10-31,20121031MEMLAC,2,2,LAC,101,0,–,0
OKC,84,2012-11-01,20121101OKCSAS,7,7,SAS,86,0,–,0
DEN,89,2012-11-02,20121102DENORL,2,2,ORL,102,0,–,0
IND,89,2012-11-02,20121102INDCHA,5,5,CHA,90,0,–,0
CHI,115,2012-11-02,20121102CHICLE,0,1,CLE,86,0,–,0
HOU,109,2012-11-02,20121102HOUATL,3,3,ATL,102,0,–,0
MIL,99,2012-11-02,20121102MILBOS,2,2,BOS,88,0,–,0
MIA,84,2012-11-02,20121102MIANYK,2,2,NYK,104,0,–,0
POR,92,2012-11-02,20121102POROKC,2,2,OKC,106,0,–,0
SAC,80,2012-11-02,20121102SACMIN,2,2,MIN,92,0,–,0
UTA,86,2012-11-02,20121102UTANOH,5,5,NOH,88,0,–,0
DET,89,2012-11-02,20121102DETPHX,5,5,PHX,92,0,–,0
LAC,105,2012-11-02,20121102LACLAL,3,3,LAL,95,0,–,0
MEM,104,2012-11-02,20121102MEMGSW,1,1,GSW,94,0,–,0
BOS,89,2012-11-03,20121103BOSWAS,6,6,WAS,86,0,–,0
SAC,98,2012-11-03,20121103SACIND,5,5,IND,106,0,–,0
DEN,116,2012-11-03,20121103DENMIA,8,8,MIA,119,0,–,0
TOR,100,2012-11-03,20121103TORBKN,3,3,BKN,107,0,–,0
NOH,89,2012-11-03,20121103NOHCHI,4,4,CHI,82,0,–,0
POR,95,2012-11-03,20121103PORHOU,8,8,HOU,85,0,–,0
CHA,99,2012-11-03,20121103CHADAL,0,1,DAL,126,0,–,0
CLE,102,2012-11-03,20121103CLEMIL,7,7,MIL,105,0,–,0
UTA,100,2012-11-03,20121103UTASAS,2,2,SAS,110,0,–,0
GSW,114,2012-11-03,20121103GSWLAC,4,4,LAC,110,0,–,0
PHI,84,2012-11-04,20121104PHINYK,2,2,NYK,100,0,–,0
MIN,86,2012-11-04,20121104MINTOR,2,2,TOR,105,0,–,0
PHX,94,2012-11-04,20121104PHXORL,4,4,ORL,115,0,–,0
ATL,104,2012-11-04,20121104ATLOKC,4,4,OKC,95,0,–,0
DET,79,2012-11-04,20121104DETLAL,1,1,LAL,108,0,–,0
NYK,110,2012-11-05,20121105NYKPHI,1,1,PHI,88,0,–,0
MIN,107,2012-11-05,20121105MINBKN,9,9,BKN,96,0,–,0
PHX,99,2012-11-05,20121105PHXMIA,1,1,MIA,124,0,–,0
UTA,94,2012-11-05,20121105UTAMEM,5,5,MEM,103,0,–,0
IND,79,2012-11-05,20121105INDSAS,1,1,SAS,101,0,–,0
POR,91,2012-11-05,20121105PORDAL,0,1,DAL,114,0,–,0
GSW,92,2012-11-05,20121105GSWSAC,5,5,SAC,94,0,–,0
CLE,108,2012-11-05,20121105CLELAC,3,3,LAC,101,0,–,0
ORL,93,2012-11-06,20121106ORLCHI,4,4,CHI,99,0,–,0
TOR,88,2012-11-06,20121106TOROKC,1,1,OKC,108,0,–,0
DET,97,2012-11-06,20121106DETDEN,2,2,DEN,109,0,–,0
PHX,117,2012-11-07,20121107PHXCHA,3,3,CHA,110,0,–,0
BKN,73,2012-11-07,20121107BKNMIA,2,2,MIA,103,0,–,0
IND,86,2012-11-07,20121107INDATL,7,7,ATL,89,0,–,0
WAS,94,2012-11-07,20121107WASBOS,7,7,BOS,100,0,–,0
DEN,93,2012-11-07,20121107DENHOU,4,4,HOU,87,0,–,0
MEM,108,2012-11-07,20121107MEMMIL,1,1,MIL,90,0,–,0
ORL,75,2012-11-07,20121107ORLMIN,2,2,MIN,90,0,–,0
PHI,77,2012-11-07,20121107PHINOH,1,1,NOH,62,0,–,0
TOR,104,2012-11-07,20121107TORDAL,2,2,DAL,109,0,–,0
LAL,86,2012-11-07,20121107LALUTA,2,2,UTA,95,0,–,0
DET,103,2012-11-07,20121107DETSAC,5,5,SAC,105,0,–,0
CLE,96,2012-11-07,20121107CLEGSW,1,1,GSW,106,0,–,0
SAS,84,2012-11-07,20121107SASLAC,2,2,LAC,106,0,–,0
OKC,97,2012-11-08,20121108OKCCHI,5,5,CHI,91,0,–,0
LAC,103,2012-11-08,20121108LACPOR,2,2,POR,90,0,–,0
BKN,107,2012-11-09,20121109BKNORL,1,1,ORL,68,0,–,0
MIL,101,2012-11-09,20121109MILWAS,5,5,WAS,91,0,–,0
DAL,94,2012-11-09,20121109DALNYK,2,2,NYK,104,0,–,0
MIA,95,2012-11-09,20121109MIAATL,5,5,ATL,89,0,–,0
PHI,106,2012-11-09,20121109PHIBOS,3,3,BOS,100,0,–,0
CHA,99,2012-11-09,20121109CHANOH,1,1,NOH,107,0,–,0
DET,94,2012-11-09,20121109DETOKC,2,2,OKC,105,0,–,0
HOU,85,2012-11-09,20121109HOUMEM,2,2,MEM,93,0,–,0
IND,94,2012-11-09,20121109INDMIN,6,6,MIN,96,0,–,0
CLE,105,2012-11-09,20121109CLEPHX,8,8,PHX,107,0,–,0
SAS,97,2012-11-09,20121109SASSAC,2,2,SAC,86,0,–,0
GSW,77,2012-11-09,20121109GSWLAL,1,1,LAL,101,0,–,0
UTA,84,2012-11-09,20121109UTADEN,1,1,DEN,104,0,–,0
PHI,93,2012-11-10,20121110PHITOR,1,1,TOR,83,0,–,0
WAS,85,2012-11-10,20121110WASIND,4,4,IND,89,0,–,0
DAL,97,2012-11-10,20121110DALCHA,8,8,CHA,101,0,–,0
DET,82,2012-11-10,20121110DETHOU,2,2,HOU,96,0,–,0
MIN,80,2012-11-10,20121110MINCHI,5,5,CHI,87,0,–,0
BOS,96,2012-11-10,20121110BOSMIL,5,5,MIL,92,0,–,0
PHX,81,2012-11-10,20121110PHXUTA,1,1,UTA,94,0,–,0
SAS,112,2012-11-10,20121110SASPOR,9,9,POR,109,0,–,0
DEN,107,2012-11-10,20121110DENGSW,9,9,GSW,101,0,–,0
ORL,74,2012-11-11,20121111ORLBKN,2,2,BKN,82,0,–,0
ATL,76,2012-11-11,20121111ATLLAC,2,2,LAC,89,0,–,0
MIA,86,2012-11-11,20121111MIAMEM,2,2,MEM,104,0,–,0
CLE,91,2012-11-11,20121111CLEOKC,2,2,OKC,106,0,–,0
SAC,90,2012-11-11,20121111SACLAL,2,2,LAL,103,0,–,0
MIL,105,2012-11-12,20121112MILPHI,1,1,PHI,96,0,–,0
UTA,140,2012-11-12,20121112UTATOR,8,8,TOR,133,0,–,0
OKC,92,2012-11-12,20121112OKCDET,8,8,DET,90,0,–,0
BOS,101,2012-11-12,20121112BOSCHI,3,3,CHI,95,0,–,0
MIA,113,2012-11-12,20121112MIAHOU,8,8,HOU,110,0,–,0
MIN,90,2012-11-12,20121112MINDAL,2,2,DAL,82,0,–,0
DEN,100,2012-11-12,20121112DENPHX,4,4,PHX,110,0,–,0
ATL,95,2012-11-12,20121112ATLPOR,1,1,POR,87,0,–,0
NYK,99,2012-11-13,20121113NYKORL,2,2,ORL,89,0,–,0
TOR,74,2012-11-13,20121113TORIND,5,5,IND,72,0,–,0
WAS,76,2012-11-13,20121113WASCHA,1,1,CHA,92,0,–,0
CLE,101,2012-11-13,20121113CLEBKN,2,2,BKN,114,0,–,0
POR,103,2012-11-13,20121113PORSAC,1,1,SAC,86,0,–,0
SAS,84,2012-11-13,20121113SASLAL,7,7,LAL,82,0,–,0
DET,94,2012-11-14,20121114DETPHI,1,1,PHI,76,0,–,0
UTA,93,2012-11-14,20121114UTABOS,5,5,BOS,98,0,–,0
CHA,89,2012-11-14,20121114CHAMIN,6,6,MIN,87,0,–,0
IND,85,2012-11-14,20121114INDMIL,1,1,MIL,99,0,–,0
MEM,107,2012-11-14,20121114MEMOKC,2,2,OKC,97,0,–,0
NOH,96,2012-11-14,20121114NOHHOU,3,3,HOU,100,0,–,0
WAS,101,2012-11-14,20121114WASDAL,2,2,DAL,107,0,–,0
CHI,112,2012-11-14,20121114CHIPHX,4,4,PHX,106,0,–,0
ATL,88,2012-11-14,20121114ATLGSW,2,2,GSW,92,0,–,0
MIA,100,2012-11-14,20121114MIALAC,4,4,LAC,107,0,–,0
BOS,97,2012-11-15,20121115BOSBKN,4,4,BKN,102,0,–,0
NYK,104,2012-11-15,20121115NYKSAS,8,8,SAS,100,0,–,0
MIA,98,2012-11-15,20121115MIADEN,4,4,DEN,93,0,–,0
DAL,83,2012-11-16,20121116DALIND,0,1,IND,103,0,–,0
UTA,93,2012-11-16,20121116UTAPHI,2,2,PHI,99,0,–,0
ORL,110,2012-11-16,20121116ORLDET,7,7,DET,106,0,–,0
GSW,106,2012-11-16,20121116GSWMIN,6,6,MIN,98,0,–,0
OKC,110,2012-11-16,20121116OKCNOH,2,2,NOH,95,0,–,0
NYK,95,2012-11-16,20121116NYKMEM,2,2,MEM,105,0,–,0
ATL,112,2012-11-16,20121116ATLSAC,1,1,SAC,96,0,–,0
HOU,117,2012-11-16,20121116HOUPOR,10,10,POR,119,0,–,0
PHX,102,2012-11-16,20121116PHXLAL,2,2,LAL,114,0,–,0
TOR,89,2012-11-17,20121117TORBOS,2,2,BOS,107,0,–,0
UTA,83,2012-11-17,20121117UTAWAS,6,6,WAS,76,0,–,0
DAL,103,2012-11-17,20121117DALCLE,3,3,CLE,95,0,–,0
MEM,94,2012-11-17,20121117MEMCHA,2,2,CHA,87,0,–,0
DEN,100,2012-11-17,20121117DENSAS,2,2,SAS,126,0,–,0
NOH,113,2012-11-17,20121117NOHMIL,5,5,MIL,117,0,–,0
CHI,80,2012-11-17,20121117CHILAC,1,1,LAC,101,0,–,0
MIA,97,2012-11-17,20121117MIAPHX,2,2,PHX,88,0,–,0
IND,76,2012-11-18,20121118INDNYK,2,2,NYK,88,0,–,0
ORL,86,2012-11-18,20121118ORLTOR,1,1,TOR,97,0,–,0
BKN,99,2012-11-18,20121118BKNSAC,2,2,SAC,90,0,–,0
CLE,79,2012-11-18,20121118CLEPHI,4,4,PHI,86,0,–,0
GSW,109,2012-11-18,20121118GSWOKC,3,3,OKC,119,0,–,0
