awayTeamId,awayTeamScore,gameDate,gameId,gameRating,gameStars,homeTeamId,homeTeamScore
ORL,87,2013-10-29,20131029ORLIND,2,2,IND,97
CHI,95,2013-10-29,20131029CHIMIA,3,3,MIA,107
LAC,103,2013-10-29,20131029LACLAL,3,3,LAL,116
BKN,94,2013-10-30,20131030BKNCLE,6,6,CLE,98
BOS,87,2013-10-30,20131030BOSTOR,3,3,TOR,93
MIA,110,2013-10-30,20131030MIAPHI,5,5,PHI,114
MIL,83,2013-10-30,20131030MILNYK,4,4,NYK,90
WAS,102,2013-10-30,20131030WASDET,3,3,DET,113
CHA,83,2013-10-30,20131030CHAHOU,3,3,HOU,96
IND,95,2013-10-30,20131030INDNOP,9,9,NOP,90
ORL,115,2013-10-30,20131030ORLMIN,6,6,MIN,120
ATL,109,2013-10-30,20131030ATLDAL,3,3,DAL,118
MEM,94,2013-10-30,20131030MEMSAS,4,4,SAS,101
OKC,101,2013-10-30,20131030OKCUTA,7,7,UTA,98
DEN,88,2013-10-30,20131030DENSAC,4,4,SAC,90
POR,91,2013-10-30,20131030PORPHX,2,2,PHX,104
LAL,94,2013-10-30,20131030LALGSW,2,2,GSW,125
NYK,81,2013-10-31,20131031NYKCHI,5,5,CHI,82
GSW,115,2013-10-31,20131031GSWLAC,5,5,LAC,126
CLE,84,2013-11-01,20131101CLECHA,5,5,CHA,90
NOP,90,2013-11-01,20131101NOPORL,2,2,ORL,110
PHI,109,2013-11-01,20131101PHIWAS,7,7,WAS,102
MIL,105,2013-11-01,20131101MILBOS,8,8,BOS,98
TOR,95,2013-11-01,20131101TORATL,3,3,ATL,102
DAL,105,2013-11-01,20131101DALHOU,3,3,HOU,113
DET,108,2013-11-01,20131101DETMEM,9,9,MEM,111
MIA,100,2013-11-01,20131101MIABKN,8,8,BKN,101
OKC,81,2013-11-01,20131101OKCMIN,4,4,MIN,100
POR,113,2013-11-01,20131101PORDEN,2,2,DEN,98
LAC,110,2013-11-01,20131101LACSAC,3,3,SAC,101
UTA,84,2013-11-01,20131101UTAPHX,6,6,PHX,87
SAS,91,2013-11-01,20131101SASLAL,8,8,LAL,85
CLE,74,2013-11-02,20131102CLEIND,2,2,IND,89
CHI,104,2013-11-02,20131102CHIPHI,9,9,PHI,107
CHA,84,2013-11-02,20131102CHANOP,2,2,NOP,105
MEM,99,2013-11-02,20131102MEMDAL,2,2,DAL,111
TOR,97,2013-11-02,20131102TORMIL,3,3,MIL,90
HOU,104,2013-11-02,20131102HOUUTA,8,8,UTA,93
SAS,105,2013-11-02,20131102SASPOR,3,3,POR,115
SAC,87,2013-11-02,20131102SACGSW,3,3,GSW,98
BKN,86,2013-11-03,20131103BKNORL,2,2,ORL,107
BOS,77,2013-11-03,20131103BOSDET,3,3,DET,87
WAS,93,2013-11-03,20131103WASMIA,3,3,MIA,103
PHX,96,2013-11-03,20131103PHXOKC,6,6,OKC,103
MIN,109,2013-11-03,20131103MINNYK,4,4,NYK,100
ATL,103,2013-11-03,20131103ATLLAL,6,6,LAL,105
GSW,110,2013-11-04,20131104GSWPHI,2,2,PHI,90
MIN,92,2013-11-04,20131104MINCLE,7,7,CLE,93
BOS,88,2013-11-04,20131104BOSMEM,5,5,MEM,95
HOU,118,2013-11-04,20131104HOULAC,5,5,LAC,137
MIA,104,2013-11-05,20131105MIATOR,3,3,TOR,95
CHA,102,2013-11-05,20131105CHANYK,4,4,NYK,97
IND,99,2013-11-05,20131105INDDET,3,3,DET,91
UTA,88,2013-11-05,20131105UTABKN,3,3,BKN,104
PHX,104,2013-11-05,20131105PHXNOP,8,8,NOP,98
LAL,104,2013-11-05,20131105LALDAL,2,2,DAL,123
SAS,102,2013-11-05,20131105SASDEN,7,7,DEN,94
ATL,105,2013-11-05,20131105ATLSAC,7,7,SAC,100
HOU,116,2013-11-05,20131105HOUPOR,3,3,POR,101
CHI,80,2013-11-06,20131106CHIIND,2,2,IND,97
LAC,90,2013-11-06,20131106LACORL,3,3,ORL,98
TOR,90,2013-11-06,20131106TORCHA,6,6,CHA,92
WAS,116,2013-11-06,20131106WASPHI,2,2,PHI,102
UTA,87,2013-11-06,20131106UTABOS,6,6,BOS,97
CLE,104,2013-11-06,20131106CLEMIL,3,3,MIL,109
GSW,106,2013-11-06,20131106GSWMIN,4,4,MIN,93
NOP,99,2013-11-06,20131106NOPMEM,3,3,MEM,84
PHX,96,2013-11-06,20131106PHXSAS,5,5,SAS,99
DAL,93,2013-11-06,20131106DALOKC,3,3,OKC,107
LAC,97,2013-11-07,20131107LACMIA,7,7,MIA,102
ATL,107,2013-11-07,20131107ATLDEN,7,7,DEN,109
LAL,99,2013-11-07,20131107LALHOU,7,7,HOU,98
BKN,108,2013-11-08,20131108BKNWAS,10,10,WAS,112
BOS,91,2013-11-08,20131108BOSORL,8,8,ORL,89
CLE,79,2013-11-08,20131108CLEPHI,6,6,PHI,94
NYK,101,2013-11-08,20131108NYKCHA,3,3,CHA,91
TOR,84,2013-11-08,20131108TORIND,7,7,IND,91
OKC,119,2013-11-08,20131108OKCDET,5,5,DET,110
DAL,108,2013-11-08,20131108DALMIN,4,4,MIN,116
LAL,85,2013-11-08,20131108LALNOP,3,3,NOP,96
UTA,73,2013-11-08,20131108UTACHI,1,1,CHI,97
GSW,74,2013-11-08,20131108GSWSAS,6,6,SAS,76
DEN,103,2013-11-08,20131108DENPHX,2,2,PHX,114
