awayTeamId,awayTeamScore,gameDate,gameId,gameRating,gameStars,homeTeamId,homeTeamScore
NYK,88,2016-10-25,20161025NYKCLE,7,2,CLE,117
UTA,104,2016-10-25,20161025UTAPOR,19,4,POR,113
SAS,129,2016-10-25,20161025SASGSW,27,3,GSW,100
DAL,121,2016-10-26,20161026DALIND,34,6,IND,130
MIA,108,2016-10-26,20161026MIAORL,3,2,ORL,96
BKN,117,2016-10-26,20161026BKNBOS,7,5,BOS,122
DET,91,2016-10-26,20161026DETTOR,5,5,TOR,109
CHA,107,2016-10-26,20161026CHAMIL,4,7,MIL,96
DEN,107,2016-10-26,20161026DENNOP,17,6,NOP,102
MIN,98,2016-10-26,20161026MINMEM,16,9,MEM,102
OKC,103,2016-10-26,20161026OKCPHI,16,6,PHI,97
SAC,113,2016-10-26,20161026SACPHX,-2,2,PHX,94
HOU,114,2016-10-26,20161026HOULAL,23,6,LAL,120
WAS,99,2016-10-27,20161027WASATL,6,2,ATL,114
BOS,99,2016-10-27,20161027BOSCHI,16,7,CHI,105
LAC,114,2016-10-27,20161027LACPOR,13,8,POR,106
SAS,102,2016-10-27,20161027SASSAC,8,5,SAC,94
CLE,94,2016-10-28,20161028CLETOR,24,6,TOR,91
IND,94,2016-10-28,20161028INDBKN,4,2,BKN,103
ORL,82,2016-10-28,20161028ORLDET,-7,1,DET,108
CHA,97,2016-10-28,20161028CHAMIA,13,8,MIA,91
PHX,110,2016-10-28,20161028PHXOKC,33,10,OKC,113
HOU,106,2016-10-28,20161028HOUDAL,1,4,DAL,98
LAL,89,2016-10-28,20161028LALUTA,6,6,UTA,96
GSW,122,2016-10-28,20161028GSWNOP,15,9,NOP,114
ATL,104,2016-10-29,20161029ATLPHI,-8,1,PHI,72
BOS,104,2016-10-29,20161029BOSCHA,9,7,CHA,98
MEM,104,2016-10-29,20161029MEMNYK,18,9,NYK,111
ORL,99,2016-10-29,20161029ORLCLE,10,9,CLE,105
BKN,108,2016-10-29,20161029BKNMIL,15,7,MIL,110
IND,101,2016-10-29,20161029INDCHI,4,7,CHI,118
NOP,79,2016-10-29,20161029NOPSAS,4,3,SAS,98
POR,115,2016-10-29,20161029PORDEN,23,9,DEN,113
MIN,103,2016-10-29,20161029MINSAC,14,9,SAC,106
UTA,75,2016-10-30,20161030UTALAC,-8,4,LAC,88
GSW,106,2016-10-30,20161030GSWPHX,15,7,PHX,100
MIL,83,2016-10-30,20161030MILDET,1,2,DET,98
SAS,106,2016-10-30,20161030SASMIA,6,4,MIA,99
LAL,96,2016-10-30,20161030LALOKC,3,3,OKC,113
DAL,92,2016-10-30,20161030DALHOU,18,6,HOU,93
WAS,103,2016-10-30,20161030WASMEM,6,6,MEM,112
CHI,118,2016-10-31,20161031CHIBKN,1,1,BKN,88
DEN,102,2016-10-31,20161031DENTOR,10,7,TOR,105
SAC,95,2016-10-31,20161031SACATL,5,2,ATL,106
PHX,98,2016-10-31,20161031PHXLAC,2,3,LAC,116
HOU,120,2016-11-01,20161101HOUCLE,9,8,CLE,128
LAL,108,2016-11-01,20161101LALIND,4,4,IND,115
ORL,103,2016-11-01,20161101ORLPHI,9,9,PHI,101
NYK,89,2016-11-01,20161101NYKDET,0,2,DET,102
SAC,96,2016-11-01,20161101SACMIA,6,3,MIA,108
MEM,80,2016-11-01,20161101MEMMIN,3,2,MIN,116
MIL,117,2016-11-01,20161101MILNOP,6,4,NOP,113
UTA,106,2016-11-01,20161101UTASAS,6,4,SAS,91
GSW,127,2016-11-01,20161101GSWPOR,0,3,POR,104
PHI,93,2016-11-02,20161102PHICHA,4,5,CHA,109
TOR,113,2016-11-02,20161102TORWAS,10,8,WAS,103
DET,101,2016-11-02,20161102DETBKN,2,2,BKN,109
HOU,118,2016-11-02,20161102HOUNYK,-2,2,NYK,99
LAL,123,2016-11-02,20161102LALATL,14,7,ATL,116
CHI,100,2016-11-02,20161102CHIBOS,9,4,BOS,107
NOP,83,2016-11-02,20161102NOPMEM,6,7,MEM,89
DAL,81,2016-11-02,20161102DALUTA,1,3,UTA,97
POR,115,2016-11-02,20161102PORPHX,31,8,PHX,118
OKC,85,2016-11-02,20161102OKCLAC,18,8,LAC,83
SAC,94,2016-11-03,20161103SACORL,3,2,ORL,102
BOS,122,2016-11-03,20161103BOSCLE,7,6,CLE,128
DEN,102,2016-11-03,20161103DENMIN,15,7,MIN,99
IND,107,2016-11-03,20161103INDMIL,2,3,MIL,125
OKC,96,2016-11-03,20161103OKCGSW,-5,3,GSW,122
ATL,92,2016-11-04,20161104ATLWAS,11,6,WAS,95
CHA,99,2016-11-04,20161104CHABKN,10,6,BKN,95
MIA,87,2016-11-04,20161104MIATOR,5,6,TOR,96
LAC,99,2016-11-04,20161104LACMEM,2,4,MEM,88
NYK,117,2016-11-04,20161104NYKCHI,7,2,CHI,104
PHX,112,2016-11-04,20161104PHXNOP,19,7,NOP,111
POR,105,2016-11-04,20161104PORDAL,8,7,DAL,95
SAS,100,2016-11-04,20161104SASUTA,4,4,UTA,86
GSW,97,2016-11-04,20161104GSWLAL,22,2,LAL,117
MIN,92,2016-11-05,20161105MINOKC,1,2,OKC,112
CHI,94,2016-11-05,20161105CHIIND,0,2,IND,111
CLE,102,2016-11-05,20161105CLEPHI,28,7,PHI,101
