,away_+/-,away_2P,away_2P%,away_2PA,away_2PAr,away_3P,away_3P%,away_3PA,away_3PAr,away_AST,away_AST%,away_AST/TOV,away_BLK,away_BLK%,away_DRB,away_DRB%,away_DRBr,away_DRtg,away_FG,away_FG%,away_FGA,away_FIC,away_FT,away_FT%,away_FT/FGA,away_FTA,away_FTAr,away_FTr,away_HOB,away_ORB,away_ORB%,away_ORBr,away_ORtg,away_PF,away_PTS,away_STL,away_STL%,away_STL/TOV,away_TOV,away_TOV%,away_TRB,away_TRB%,away_TS%,away_TSA,away_USG%,away_eFG%,dbGameId,home_+/-,home_2P,home_2P%,home_2PA,home_2PAr,home_3P,home_3P%,home_3PA,home_3PAr,home_AST,home_AST%,home_AST/TOV,home_BLK,home_BLK%,home_DRB,home_DRB%,home_DRBr,home_DRtg,home_FG,home_FG%,home_FGA,home_FIC,home_FT,home_FT%,home_FT/FGA,home_FTA,home_FTAr,home_FTr,home_HOB,home_ORB,home_ORB%,home_ORBr,home_ORtg,home_PF,home_PTS,home_STL,home_STL%,home_STL/TOV,home_TOV,home_TOV%,home_TRB,home_TRB%,home_TS%,home_TSA,home_USG%,home_eFG%,rating
2560,-19.0,28.0,0.491228070175438,57.0,0.7402597402597401,9.0,0.45,20.0,0.259740259740259,12.0,32.4,0.75,2.0,3.2,30.0,62.5,0.8108108108108101,128.3,37.0,0.48051948051948,77.0,56.75,18.0,0.9,0.233766233766233,20.0,0.259740259740259,0.26,1.3243243243243241,7.0,17.9,0.189189189189189,108.0,23.0,101.0,5.0,5.3,0.3125,16.0,15.7,37.0,42.5,0.588578088578088,85.8,100.0,0.5389610389610391,20151116PHO,19.0,34.0,0.539682539682539,63.0,0.6774193548387091,11.0,0.36666666666666603,30.0,0.32258064516129004,23.0,51.1,2.3,6.0,10.5,32.0,82.1,0.64,108.0,45.0,0.48387096774193505,93.0,106.875,19.0,0.76,0.20430107526881702,25.0,0.26881720430107503,0.269,1.511111111111111,18.0,37.5,0.36,128.3,16.0,120.0,13.0,13.9,1.3,10.0,8.8,50.0,57.5,0.5769230769230761,104.0,100.0,0.543010752688172,5
2561,-4.0,31.0,0.455882352941176,68.0,0.772727272727272,5.0,0.25,20.0,0.22727272727272702,24.0,66.7,1.6,4.0,6.8,33.0,80.5,0.7021276595744681,96.4,36.0,0.409090909090909,88.0,67.75,7.0,0.875,0.079545454545454,8.0,0.09090909090909001,0.091,1.666666666666666,14.0,29.2,0.297872340425531,92.0,20.0,84.0,11.0,12.0,0.7333333333333331,15.0,14.1,47.0,52.8,0.458916083916083,91.52,100.0,0.4375,20151225HOU,4.0,25.0,0.423728813559322,59.0,0.797297297297297,7.0,0.46666666666666606,15.0,0.20270270270270202,23.0,71.9,1.352941176470588,2.0,2.9,34.0,70.8,0.8095238095238091,92.0,32.0,0.432432432432432,74.0,63.75,17.0,0.6538461538461531,0.22972972972972902,26.0,0.35135135135135104,0.35100000000000003,1.71875,8.0,19.5,0.19047619047619002,96.4,17.0,88.0,8.0,8.8,0.47058823529411703,17.0,16.6,42.0,47.2,0.5149812734082391,85.44,100.0,0.47972972972972905,2
2562,4.0,35.0,0.47297297297297203,74.0,0.7326732673267321,10.0,0.37037037037037,27.0,0.267326732673267,23.0,51.1,2.555555555555555,4.0,5.9,34.0,82.9,0.708333333333333,109.1,45.0,0.44554455445544505,101.0,94.0,20.0,0.9090909090909091,0.19801980198019803,22.0,0.21782178217821702,0.218,1.511111111111111,14.0,25.5,0.291666666666666,112.8,19.0,120.0,10.0,9.4,1.111111111111111,9.0,7.5,48.0,50.0,0.542103361040838,110.68,100.0,0.49504950495049505,20160122ORL,-4.0,34.0,0.5,68.0,0.747252747252747,11.0,0.478260869565217,23.0,0.252747252747252,31.0,68.9,1.631578947368421,9.0,12.2,41.0,74.5,0.8541666666666661,112.8,45.0,0.494505494505494,91.0,92.875,15.0,0.7894736842105261,0.164835164835164,19.0,0.20879120879120802,0.209,1.6888888888888882,7.0,17.1,0.145833333333333,109.1,25.0,116.0,6.0,5.6,0.31578947368421,19.0,16.1,48.0,50.0,0.583735909822866,99.36,100.0,0.5549450549450551,13
2563,-35.0,21.0,0.35593220338983,59.0,0.614583333333333,11.0,0.29729729729729704,37.0,0.385416666666666,21.0,65.6,1.235294117647058,4.0,6.5,34.0,70.8,0.693877551020408,114.4,32.0,0.33333333333333304,96.0,55.125,6.0,0.461538461538461,0.0625,13.0,0.13541666666666602,0.135,1.65625,15.0,26.8,0.306122448979591,79.9,17.0,81.0,11.0,10.8,0.647058823529411,17.0,14.3,49.0,47.1,0.398151789225324,101.72,100.0,0.390625,20160413HOU,35.0,37.0,0.596774193548387,62.0,0.639175257731958,10.0,0.28571428571428503,35.0,0.360824742268041,33.0,70.2,2.357142857142857,7.0,11.9,41.0,73.2,0.745454545454545,79.9,47.0,0.484536082474226,97.0,110.375,12.0,0.631578947368421,0.12371134020618502,19.0,0.195876288659793,0.196,1.702127659574468,14.0,29.2,0.254545454545454,114.4,15.0,116.0,11.0,10.8,0.785714285714285,14.0,11.7,55.0,52.9,0.550493545937737,105.36,100.0,0.536082474226804,0
2564,-7.0,28.0,0.45161290322580605,62.0,0.6888888888888881,9.0,0.321428571428571,28.0,0.311111111111111,23.0,62.2,2.3,4.0,8.3,34.0,82.9,0.7391304347826081,116.6,37.0,0.41111111111111104,90.0,78.125,18.0,0.8571428571428571,0.2,21.0,0.23333333333333303,0.233,1.621621621621621,12.0,26.1,0.260869565217391,109.0,24.0,101.0,10.0,10.8,1.0,10.0,9.2,46.0,52.9,0.5088673921805721,99.24,100.0,0.461111111111111,20160304CHO,7.0,25.0,0.520833333333333,48.0,0.60759493670886,13.0,0.41935483870967705,31.0,0.39240506329113906,20.0,52.6,1.818181818181818,9.0,14.5,34.0,73.9,0.829268292682926,109.0,38.0,0.48101265822784806,79.0,85.125,19.0,0.826086956521739,0.24050632911392403,23.0,0.291139240506329,0.291,1.526315789473684,7.0,17.1,0.17073170731707302,116.6,19.0,108.0,4.0,4.3,0.36363636363636304,11.0,11.0,41.0,47.1,0.605924596050269,89.12,100.0,0.563291139240506,2
2565,-9.0,25.0,0.462962962962962,54.0,0.683544303797468,10.0,0.4,25.0,0.316455696202531,21.0,60.0,1.105263157894737,5.0,8.6,25.0,65.8,0.6756756756756751,121.4,35.0,0.44303797468354406,79.0,59.125,26.0,0.7878787878787871,0.329113924050632,33.0,0.41772151898734106,0.418,1.6,12.0,31.6,0.324324324324324,111.9,34.0,106.0,4.0,4.2,0.210526315789473,19.0,16.9,37.0,48.7,0.56672369546621,93.52,100.0,0.50632911392405,20160418GSW,9.0,32.0,0.551724137931034,58.0,0.716049382716049,8.0,0.347826086956521,23.0,0.28395061728395005,27.0,67.5,2.25,6.0,11.1,26.0,68.4,0.6666666666666661,111.9,40.0,0.493827160493827,81.0,91.5,27.0,0.710526315789473,0.33333333333333304,38.0,0.46913580246913505,0.46900000000000003,1.675,13.0,34.2,0.33333333333333304,121.4,24.0,115.0,10.0,10.6,0.833333333333333,12.0,10.9,39.0,51.3,0.588415882112157,97.72,100.0,0.5432098765432091,5
2566,-24.0,25.0,0.40983606557377006,61.0,0.74390243902439,9.0,0.42857142857142805,21.0,0.25609756097560904,23.0,67.6,1.4375,2.0,3.6,23.0,79.3,0.696969696969697,121.9,34.0,0.414634146341463,82.0,66.5,20.0,0.769230769230769,0.24390243902439002,26.0,0.31707317073170704,0.317,1.676470588235294,10.0,21.3,0.30303030303030304,97.7,19.0,97.0,14.0,14.1,0.875,16.0,14.6,33.0,43.4,0.519049657534246,93.44,100.0,0.469512195121951,20151124ATL,24.0,33.0,0.5892857142857141,56.0,0.7000000000000001,12.0,0.5,24.0,0.30000000000000004,33.0,73.3,1.65,7.0,11.5,37.0,78.7,0.8604651162790691,97.7,45.0,0.5625,80.0,102.0,19.0,0.8636363636363631,0.23750000000000002,22.0,0.275,0.275,1.733333333333333,6.0,20.7,0.13953488372093,121.9,25.0,121.0,8.0,8.1,0.4,20.0,18.2,43.0,56.6,0.674620874219446,89.68,100.0,0.6375000000000001,4
2567,3.0,28.0,0.509090909090909,55.0,0.63953488372093,9.0,0.29032258064516103,31.0,0.360465116279069,13.0,35.1,0.764705882352941,6.0,9.7,29.0,70.7,0.7837837837837831,96.1,37.0,0.43023255813953404,86.0,63.5,15.0,0.833333333333333,0.17441860465116202,18.0,0.20930232558139503,0.209,1.351351351351351,8.0,18.6,0.216216216216216,99.1,16.0,98.0,13.0,13.1,0.764705882352941,17.0,15.3,37.0,44.0,0.5217206132879041,93.92,100.0,0.482558139534883,20160219MIL,-3.0,29.0,0.46774193548387005,62.0,0.7654320987654321,7.0,0.36842105263157804,19.0,0.23456790123456703,22.0,61.1,1.0,11.0,20.0,35.0,81.4,0.7446808510638291,99.1,36.0,0.44444444444444403,81.0,74.125,16.0,0.7619047619047611,0.19753086419753002,21.0,0.259259259259259,0.259,1.6111111111111112,12.0,29.3,0.25531914893617,96.1,17.0,95.0,7.0,7.1,0.318181818181818,22.0,19.6,47.0,56.0,0.526374113475177,90.24,100.0,0.48765432098765404,2
2568,-17.0,33.0,0.559322033898305,59.0,0.797297297297297,6.0,0.4,15.0,0.20270270270270202,20.0,51.3,1.111111111111111,6.0,9.5,37.0,75.5,0.8604651162790691,123.3,39.0,0.5270270270270271,74.0,71.5,15.0,0.833333333333333,0.20270270270270202,18.0,0.243243243243243,0.243,1.5128205128205119,6.0,17.1,0.13953488372093,105.2,20.0,99.0,3.0,3.2,0.16666666666666602,18.0,18.0,43.0,51.2,0.604248046875,81.92,100.0,0.5675675675675671,20160123NOP,17.0,26.0,0.412698412698412,63.0,0.670212765957446,17.0,0.5483870967741931,31.0,0.329787234042553,33.0,76.7,4.125,4.0,6.8,29.0,82.9,0.707317073170731,105.2,43.0,0.457446808510638,94.0,103.375,13.0,0.764705882352941,0.138297872340425,17.0,0.18085106382978702,0.181,1.767441860465116,12.0,24.5,0.292682926829268,123.3,17.0,116.0,10.0,10.6,1.25,8.0,7.3,41.0,48.8,0.5715411903823411,101.48,100.0,0.547872340425531,2
2569,5.0,35.0,0.555555555555555,63.0,0.7241379310344821,8.0,0.33333333333333304,24.0,0.275862068965517,31.0,72.1,1.9375,10.0,15.9,31.0,75.6,0.704545454545454,107.1,43.0,0.49425287356321806,87.0,99.0,15.0,0.625,0.172413793103448,24.0,0.275862068965517,0.276,1.720930232558139,13.0,32.5,0.295454545454545,112.2,20.0,109.0,13.0,13.4,0.8125,16.0,14.1,44.0,54.3,0.558630586305863,97.56,100.0,0.540229885057471,20160321MIN,-5.0,29.0,0.46031746031746,63.0,0.7682926829268291,7.0,0.36842105263157804,19.0,0.23170731707317002,26.0,72.2,1.733333333333333,5.0,7.9,27.0,67.5,0.729729729729729,112.2,36.0,0.43902439024390205,82.0,75.5,25.0,0.833333333333333,0.304878048780487,30.0,0.365853658536585,0.366,1.722222222222222,10.0,24.4,0.27027027027027,107.1,20.0,104.0,8.0,8.2,0.533333333333333,15.0,13.6,37.0,45.7,0.546218487394957,95.2,100.0,0.48170731707317005,3
